model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
doclaynet_yolo26n,436,314,654,239,2377497.0,5327385600.0,2680217200.0,0.0,5326668800.0,2679858800.0,,N/A,256,512,64,128.0,218.0,post_placement,176,968,N/A,N/A,N/A,N/A,N/A,255,128,233,80,6,28,98880,687744,256,4,6,64,False,False,True,False,False,0,0,N/A,hailo8l,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.0803481750424821,0.12045397853490164,,,,0.28688840289678835,0.7527039479100032,0.9418908421631242,0.9718145613665251,0.759407608450445,0.8535542621576143,0.5309752725531962,0.12970271102797537,,no runtime data,no runtime data,N/A,0.6194795344343413,0.9286928359494437,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,1228800.0,126000.0,3814400.0,3456000.0,0.0,0.0
doclaynet_yolo26n_context_0,0.11857502446657248,0.13127716664725583,,0.59375,0.375,0.31640625,0.5884447846342552,1.0,0.9879206534486962,0.8389289299658368,0.8518518518518519,0.4946267461347301,0.13331736516912648,,1304.0614995403182,0.0007668350000000001,9.533999999999986e-05,0.8894192014382233,0.9846966783413215,,no runtime data,,,,,1228800.0,0.0,0.0,614400.0,0.0,0.0
doclaynet_yolo26n_context_1,0.11220521669722956,0.16948216642714684,,0.609375,0.3203125,0.359375,0.8201850085731476,0.9358321125160332,0.9702129005950997,0.7475545471675573,0.9130434782608695,0.5571462540003329,0.18281361459385922,,1582.6541109440532,0.00063185,0.00039761000000000006,0.6137683834243195,0.9270762836984013,,no runtime data,,,,,0.0,0.0,819200.0,1126400.0,0.0,0.0
doclaynet_yolo26n_context_2,0.028936738981718547,0.0686087167525152,,0.609375,0.310546875,0.22265625,0.9325607141913681,0.8333333333333333,0.9767327473749599,0.8006665481008627,0.631578947368421,0.6067122662903334,0.08531891244707814,,2571.3716339138205,0.0003888975,0.0007577524999999999,0.33915972615881046,0.8041442956164264,,no runtime data,,,,,0.0,0.0,409600.0,716800.0,0.0,0.0
doclaynet_yolo26n_context_3,0.09452516512590406,0.124373197259277,,0.609375,0.298828125,0.265625,0.779293864124642,1.0,0.9665034509573789,0.7575805739038148,0.8529411764705882,0.5748907251829084,0.13024867992425268,,1496.8995468136623,0.0006680475,0.00025247249999999996,0.725728392647634,0.954890270915662,,no runtime data,,,,,0.0,0.0,1433600.0,819200.0,0.0,0.0
doclaynet_yolo26n_context_4,0.08072069030677688,0.10426408083026054,,0.609375,0.240234375,0.234375,0.8268576087280599,0.9304102870380723,0.9537726937025461,0.7002984184808629,0.9166666666666666,0.5064018514560107,0.1087972727737523,,1362.9595303241458,0.0007336975,0.00025519750000000004,0.7419367071327087,0.9583335884446414,,no runtime data,,,,,0.0,120000.0,921600.0,179200.0,0.0,0.0
doclaynet_yolo26n_context_5,0.046054200245715556,0.09543932855394242,,0.609375,0.345703125,0.3046875,0.8292490650674152,0.7968790368356806,0.9843215313221656,0.6925555818589496,0.8205128205128205,0.4508178615654644,0.1127044653913661,,4150.281700370413,0.00024094749999999996,0.00034870250000000006,0.40862799966081564,0.8468105342812238,,no runtime data,,,,,0.0,6000.0,230400.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
conv7,conv,160,160,64,64,3,3,2,2,conv6,conv_feature_splitter2_1 conv_feature_splitter2_2,36928.0,236339200,,1568.36,255044,184320,24.0,9.0,9.0,64,2,20.0,,1,1,1,False,,False,combined (SPATIAL_W),6933.310852050781,639.9979248046875,,20.0,0.0,9.0,0.76709,0,256,0.760168335090081,0.3728070449497965,0.5739717978895879,192.0,24576,doclaynet_yolo26n_context_0,False,0.0008272925,0,471859200,10240,8,-0.3777296841144562,47.782806396484375,-0.2898802161216736,0.25004419684410095,-0.36273905634880066,22.76187515258789,8,8,16,0.7546083816056686,1.0,1.0,0.8041351420634557,0.8333333333333334,0.6069754195598693,False,False,False
conv_feature_splitter2_1,conv,80,80,32,64,1,1,1,1,conv7,concat2,2080.0,13312000.0,,1750.54,228501,204800.0,1,1,1,32,4,1,0.0,1,1,1,False,,False,,533.3316040039062,266.6658020019531,doclaynet_yolo26n/conv_feature_splitter2_1,1,0,1,0.7646324999999999,0,32,0.9102804660797119,0.11203452199697495,0.6781119692622279,12,2560,doclaynet_yolo26n_context_0,False,0.00083443,0,26214400.0,512,8,-0.36273905634880066,22.76187515258789,-1.656967282295227,1.1472562551498413,-0.620269775390625,11.546560287475586,8,8,16,0.9102804660797119,1.0,1.0,0.7449483917661556,1.0,0.6781119692622279,False,False,False
conv_feature_splitter2_2,conv,80,80,32,64,1,1,1,1,conv7,conv9 ew_add2 concat2,2080.0,13312000.0,,1750.54,228501,204800.0,1,1,1,32,4,1,0.0,1,1,1,False,,False,,533.3316040039062,266.6658020019531,doclaynet_yolo26n/conv_feature_splitter2_2,1,0,1,0.7646324999999999,0,32,0.9102804660797119,0.11203452199697495,0.6781119692622279,12,2560,doclaynet_yolo26n_context_0,False,0.00083443,0,26214400.0,512,8,-0.36273905634880066,22.76187515258789,-0.8584995269775391,1.0773029327392578,-0.29781800508499146,5.543996810913086,8,8,16,0.9102804660797119,1.0,1.0,0.7449483917661556,1.0,0.6781119692622279,False,False,False
conv9,conv,80,80,16,32,3,3,1,1,conv_feature_splitter2_2,conv10,4624.0,29593600.0,,1491.96,268103,230400.0,2,1,1,8,1,1,0.0,1,1,1,False,,False,,266.6658020019531,133.33290100097656,doclaynet_yolo26n/conv9,2,0,1,0.7736275,0,8,0.8838767409324646,0.04774284362792969,0.7725586530160221,255,128,doclaynet_yolo26n_context_0,False,0.0008505625,0,58982400.0,5120,8,-0.29781800508499146,5.543996810913086,-0.7466103434562683,0.4739095866680145,-0.2949698865413666,5.973140239715576,8,8,16,0.8838767409324646,1.0,1.0,0.8740570005281448,1.0,0.7725586530160221,False,False,True
conv10,conv,80,80,32,16,3,3,1,1,conv9,ew_add2,4640.0,29696000.0,,1418.14,282059,230400.0,2,1,2,16,2,2,0.0,1,1,1,True,,False,,133.33290100097656,266.6658020019531,doclaynet_yolo26n/conv10,1,0,1,0.7747975,0,16,0.8430151343345642,0.09076115489006042,0.7751993772300196,2,2560,doclaynet_yolo26n_context_0,False,0.000862175,0,58982400.0,15360,8,-0.2949698865413666,5.973140239715576,-1.2569807767868042,1.0292713642120361,-0.2894987463951111,7.912965297698975,8,8,16,0.8430151343345642,1.0,1.0,0.9195557062471066,1.0,0.7751993772300196,False,True,False
ew_add2,ew_add,80,80,32,32,,,,,conv_feature_splitter2_2 conv10,concat2,0,102400.0,,5074.92,78819,,1,1,1,32,0,1,0.0,,,,False,,False,,324.1275634765625,0.0,doclaynet_yolo26n/ew_add2,1,0,1,0.5915,0,32,0.6495895385742188,0.3247947692871094,0.2025797176579938,12,2560,doclaynet_yolo26n_context_1,False,0.0005931425,0,204800.0,0,8,N/A,N/A,N/A,N/A,-0.5856964588165283,10.902965545654297,8,8,16,0.6495895385742188,1.0,1.0,0.31185803592624833,1.0,0.2025797176579938,False,False,False
concat2,concat,80|80|80,80|80|80,96,32|32|32,,,,,conv_feature_splitter2_1 conv_feature_splitter2_2 ew_add2,conv11,0,0,,4515.13,88591,,1,1,1,96,0,1,1,,,,False,,False,,324.1275634765625,0.0,doclaynet_yolo26n/concat2,0,0,1,0.6021675,0,96,0.8669052124023438,0.8669052124023438,0.3038695880032288,42,768,doclaynet_yolo26n_context_1,False,0.00060627,0,0,0,8,N/A,N/A,N/A,N/A,-0.620269775390625,11.546560287475586,8,8,8,0.8669052124023438,1.0,1.0,0.35052227585661155,0.0,0.3038695880032288,False,False,True
conv11,conv,80,80,128,96,1,1,1,1,concat2,conv12 concat12,12416.0,79462400.0,,1762.88,226901,153600.0,8,1,2,16,4,2,0.0,1,1,1,True,,False,,972.3826293945312,1296.51025390625,doclaynet_yolo26n/conv11,4,0,1,0.6061225,0,16,0.6839987635612488,0.45129814743995667,0.6140698086998928,2,10240,doclaynet_yolo26n_context_1,False,0.0006105025,0,157286400.0,4096,8,-0.620269775390625,11.546560287475586,-1.167988896369934,0.8904111981391907,-0.28949153423309326,6.421448707580566,8,8,16,0.6839987635612488,1.0,1.0,0.8977645010682915,1.0,0.6140698086998928,False,True,False
conv12,conv,80,80,128,128,3,3,2,2,conv11,conv_feature_splitter3_1 conv_feature_splitter3_2,147584.0,236134400,,1582.65,252740,184320,26.0,5.0,5.0,128,2,10.0,,1,1,1,False,,False,combined (SPATIAL_W),2981.973602294922,388.9530792236328,,24.0,0.0,5.0,0.624905,0,384,0.7587220760492178,0.3113913543522358,0.5934344349124888,77.0,14336,doclaynet_yolo26n_context_1,False,0.00064411,0,471859200,10240,8,-0.28949153423309326,6.421448707580566,-1.3288075923919678,2.0731959342956543,-0.2820030450820923,9.990964889526367,8,8,16,0.7602199992599761,1.0,1.0,0.8112643104563743,0.9230769230769231,0.618408920344447,False,False,False
conv_feature_splitter3_1,conv,40,40,64,128,1,1,1,1,conv12,concat4,8256.0,13209600.0,,1800.33,222181,204800.0,1,1,1,64,8,1,0.0,1,1,1,False,,False,,324.1275634765625,162.06378173828125,doclaynet_yolo26n/conv_feature_splitter3_1,1,0,1,0.62228,0,64,0.9289723038673401,0.057610686868429184,0.8166495032268318,64,512,doclaynet_yolo26n_context_1,False,0.00065801,0,26214400.0,0,8,-0.2820030450820923,9.990964889526367,-1.2035837173461914,1.2636712789535522,-0.34370970726013184,7.624106407165527,8,8,16,0.9289723038673401,1.0,1.0,0.8790891825591517,1.0,0.8166495032268318,False,False,True
