epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3619.41,0.78894,0.68536,0.00434,0.78419,0.77387,0.8239,0.61503,1.0043,0.73044,0.00597,0.000323873,0.000323873,0.000323873
43,3700.35,0.78515,0.68233,0.00424,0.82037,0.72316,0.81681,0.59059,1.09915,0.77893,0.00612,0.000310931,0.000310931,0.000310931
44,3786.58,0.78002,0.67008,0.00419,0.78728,0.80382,0.8352,0.60777,1.06749,0.73813,0.00611,0.000298028,0.000298028,0.000298028
45,3875.14,0.77184,0.66812,0.00412,0.79377,0.789,0.82868,0.61434,1.02984,0.693,0.00588,0.000285186,0.000285186,0.000285186
46,3955.5,0.78499,0.67828,0.0042,0.79169,0.77613,0.8186,0.5882,1.15541,0.77587,0.00632,0.000272423,0.000272423,0.000272423
47,4035.62,0.77516,0.66026,0.00409,0.81707,0.75552,0.82542,0.59776,1.0811,0.73922,0.00614,0.00025976,0.00025976,0.00025976
48,4115.47,0.76177,0.6484,0.00405,0.81466,0.77436,0.83545,0.62621,0.98272,0.70116,0.00594,0.000247215,0.000247215,0.000247215
49,4195.9,0.75468,0.65292,0.00402,0.8031,0.77954,0.8386,0.64353,0.96321,0.69244,0.00562,0.000234808,0.000234808,0.000234808
50,4276.86,0.75439,0.64266,0.00397,0.81647,0.79851,0.84198,0.63634,0.97949,0.70337,0.00557,0.000222559,0.000222559,0.000222559
51,4357.69,0.755,0.6413,0.00396,0.83106,0.78242,0.84822,0.63934,1.00938,0.70822,0.00578,0.000210486,0.000210486,0.000210486
52,4442.75,0.75043,0.637,0.00401,0.80621,0.79873,0.8392,0.62899,1.02656,0.72304,0.0057,0.000198608,0.000198608,0.000198608
53,4524.6,0.74337,0.63541,0.00385,0.83253,0.78091,0.84186,0.63486,1.01181,0.69679,0.00576,0.000186943,0.000186943,0.000186943
54,4603.28,0.73858,0.63901,0.00395,0.80973,0.81332,0.85137,0.6494,0.97868,0.70256,0.00559,0.000175509,0.000175509,0.000175509
55,4684.03,0.74249,0.63181,0.00386,0.80097,0.78975,0.83876,0.63976,0.97169,0.68784,0.00556,0.000164324,0.000164324,0.000164324
56,4763.23,0.73798,0.62819,0.00389,0.82665,0.78736,0.85393,0.6498,1.00633,0.67778,0.00552,0.000153405,0.000153405,0.000153405
